25 23
#############
#...........#    ########
#...........######......#
#.......................#
#.......................#
#.......................#
#.......................#
#...........######......#
#...........#    #......#
#...........#    #......#
#...........#    #......#
######..#####    ###..###
     #..#           ##
      #..#
      ##..#     ########
  #####..##      #......#
  #.......#      #......#
  #.......#      #......#
  #.......########......#
  #.....................#
  #.......########...@..#
  #.......#      #......#
  #########      ########
